Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Urban,Higher,Benin,"Coffee, Tea and Cocoa",US$,0
Urban,Higher,Benin,"Coffee, Tea and Cocoa",$PPP,0
Urban,Higher,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Middle,Benin,"Coffee, Tea and Cocoa",US$,0
Urban,Middle,Benin,"Coffee, Tea and Cocoa",$PPP,0
Urban,Middle,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Lowest,Benin,"Coffee, Tea and Cocoa",US$,0
Urban,Lowest,Benin,"Coffee, Tea and Cocoa",$PPP,0
Urban,Lowest,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Low,Benin,"Coffee, Tea and Cocoa",US$,0
Urban,Low,Benin,"Coffee, Tea and Cocoa",$PPP,0
Urban,Low,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Urban,All,Benin,"Coffee, Tea and Cocoa",US$,0
Urban,All,Benin,"Coffee, Tea and Cocoa",$PPP,0
Urban,All,Benin,"Coffee, Tea and Cocoa",Local Currency,0
National,Higher,Bhutan,"Coffee, Tea and Cocoa",US$,0.04633299
National,Higher,Bhutan,"Coffee, Tea and Cocoa",$PPP,0.095891296
National,Higher,Bhutan,"Coffee, Tea and Cocoa",Local Currency,2.118622294
National,Middle,Bhutan,"Coffee, Tea and Cocoa",US$,0.684577072
National,Middle,Bhutan,"Coffee, Tea and Cocoa",$PPP,1.41680869
National,Middle,Bhutan,"Coffee, Tea and Cocoa",Local Currency,31.30297121
National,Lowest,Bhutan,"Coffee, Tea and Cocoa",US$,1.250469542
National,Lowest,Bhutan,"Coffee, Tea and Cocoa",$PPP,2.587986344
National,Lowest,Bhutan,"Coffee, Tea and Cocoa",Local Currency,57.17897028
National,Low,Bhutan,"Coffee, Tea and Cocoa",US$,2.297482754
National,Low,Bhutan,"Coffee, Tea and Cocoa",$PPP,4.754897095
National,Low,Bhutan,"Coffee, Tea and Cocoa",Local Currency,105.0546964
National,All,Bhutan,"Coffee, Tea and Cocoa",US$,4.278862293
National,All,Bhutan,"Coffee, Tea and Cocoa",$PPP,8.85558329
National,All,Bhutan,"Coffee, Tea and Cocoa",Local Currency,195.6552572
Rural,Higher,Bhutan,"Coffee, Tea and Cocoa",US$,0.007633999
Rural,Higher,Bhutan,"Coffee, Tea and Cocoa",$PPP,0.015799414
Rural,Higher,Bhutan,"Coffee, Tea and Cocoa",Local Currency,0.34907225
Rural,Middle,Bhutan,"Coffee, Tea and Cocoa",US$,0.120300788
Rural,Middle,Bhutan,"Coffee, Tea and Cocoa",$PPP,0.248975914
Rural,Middle,Bhutan,"Coffee, Tea and Cocoa",Local Currency,5.500873855
Rural,Lowest,Bhutan,"Coffee, Tea and Cocoa",US$,1.152193999
